,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
420,-0.3818,Tue Jan 09 02:32:03 +0000 2018,0.906,0.094,0.0,"RT @HannaIngber: We heard from a lot of readers who were upset with our obituary of Thomas Monson, who was head of the Mormon Church. Our o…",21,@nytimes
421,0.1531,Tue Jan 09 02:21:03 +0000 2018,0.798,0.088,0.113,"Trump's lawyers are assessing the risks of allowing him to be interviewed by the special counsel, who told them a r… https://t.co/HsixyyNM6h",22,@nytimes
422,0.0,Tue Jan 09 02:11:06 +0000 2018,1.0,0.0,0.0,RT @dougmillsnyt: .@realDonaldTrump watches the #NationalChampionship with members of the ROTC https://t.co/y72hoWXesK,23,@nytimes
423,0.0,Tue Jan 09 02:02:05 +0000 2018,1.0,0.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/SsNMtGeKQO,24,@nytimes
424,-0.2924,Tue Jan 09 01:47:05 +0000 2018,0.91,0.09,0.0,"RT @kenvogel: Fusion GPS is STILL doing research into Trump's ties to Russia, though it's not clear who's paying for the work. https://t.co…",25,@nytimes
425,0.0258,Tue Jan 09 01:34:02 +0000 2018,0.458,0.268,0.275,"The best and worst of the Golden Globes
https://t.co/e9hdEhCDAZ",26,@nytimes
426,0.0,Tue Jan 09 01:19:37 +0000 2018,1.0,0.0,0.0,"Alabama and Georgia, 2 titans of the Southeastern Conference, square off for college football's national championsh… https://t.co/hDHKEfVDgT",27,@nytimes
427,0.0772,Tue Jan 09 01:02:06 +0000 2018,0.939,0.0,0.061,"In Washington, a number of people trying to skate or walk across the surface of the Reflecting Pool on the National… https://t.co/YFzqvtcGdO",28,@nytimes
428,-0.1531,Tue Jan 09 00:47:03 +0000 2018,0.882,0.118,0.0,Awkward: Sam Brownback said he was leaving as Kansas governor. He hasn’t. https://t.co/elL9I1oy5e,29,@nytimes
429,0.0,Tue Jan 09 00:32:04 +0000 2018,1.0,0.0,0.0,New York City will be the first major metropolis to redraw its flood maps taking into account the realities of clim… https://t.co/b1f5yt7qxb,30,@nytimes
430,0.8442,Tue Jan 09 00:17:05 +0000 2018,0.722,0.0,0.278,"RT @marcatracy: The quarterback of Nick Saban's first national champion is now a dentist. Now at Alabama, the greatest coach of this era li…",31,@nytimes
431,0.0,Tue Jan 09 00:02:02 +0000 2018,1.0,0.0,0.0,"What ultimately salvages Michael Wolff's book are the moments when he all but makes Steve Bannon his co-author, our… https://t.co/YIsmoiXjWi",32,@nytimes
432,0.0,Mon Jan 08 23:47:04 +0000 2018,1.0,0.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/XR5g95FV2r,33,@nytimes
433,0.4404,Mon Jan 08 23:32:05 +0000 2018,0.873,0.0,0.127,The charred parchment from Egypt holds an early copy of the Acts of the Apostles. Scientists hope to reconstruct th… https://t.co/deCPm1FPlc,34,@nytimes
434,0.0,Mon Jan 08 23:23:02 +0000 2018,1.0,0.0,0.0,RT @NYTSports: We're about two hours from #CFPNationalChampionship kickoff. @marcatracy provides some pregame snacks.  https://t.co/aB2hwbr…,35,@nytimes
435,0.0,Mon Jan 08 23:17:05 +0000 2018,1.0,0.0,0.0,Read Oprah Winfrey's Golden Globes speech https://t.co/iLb2GzcFxy,36,@nytimes
436,-0.296,Mon Jan 08 23:02:05 +0000 2018,0.759,0.147,0.094,"Energy Secretary Rick Perry’s plan for coal and nuclear subsidies was rejected by regulators, a blow to President T… https://t.co/fV3v2VQtOb",37,@nytimes
437,0.0,Mon Jan 08 22:47:04 +0000 2018,1.0,0.0,0.0,2 Apple investors are pushing the company to limit technology's effects on children https://t.co/tT4PEsbm0J,38,@nytimes
